transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN858652,CHBR02,Chennai,5865.81,FAILED,2025-04-30
TXN841952,CHBR02,Chennai,8226.47,FAILED,2025-05-05
TXN204961,CHBR02,Chennai,6152.64,FAILED,2025-05-03
TXN943117,CHBR02,Chennai,6853.0,FAILED,2025-05-03
TXN256593,CHBR02,Chennai,3111.2,SUCCESS,2025-04-30
TXN269949,CHBR02,Chennai,6659.42,SUCCESS,2025-05-03
TXN604977,CHBR02,Chennai,9720.38,SUCCESS,2025-05-02
TXN379924,CHBR02,Chennai,8994.77,FAILED,2025-05-05
TXN368275,CHBR02,Chennai,4471.65,SUCCESS,2025-05-01
TXN628219,CHBR02,Chennai,5939.25,FAILED,2025-05-06
TXN180309,CHBR02,Chennai,7381.83,FAILED,2025-05-02
TXN283827,CHBR02,Chennai,5879.08,FAILED,2025-05-04
TXN568743,CHBR02,Chennai,747.33,FAILED,2025-05-01
TXN923865,CHBR02,Chennai,7865.5,FAILED,2025-05-02
TXN281593,CHBR02,Chennai,319.38,FAILED,2025-04-30
TXN826041,CHBR02,Chennai,1668.46,SUCCESS,2025-05-03
TXN848494,CHBR02,Chennai,6035.23,FAILED,2025-05-05
TXN452089,CHBR02,Chennai,9786.79,SUCCESS,2025-05-01
TXN928665,CHBR02,Chennai,4820.66,FAILED,2025-05-06
TXN145655,CHBR02,Chennai,3162.0,SUCCESS,2025-04-30
