transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN956125,MUBR04,Mumbai,2208.51,SUCCESS,2025-05-05
TXN502396,MUBR04,Mumbai,2793.87,FAILED,2025-05-03
TXN975077,MUBR04,Mumbai,7974.05,SUCCESS,2025-05-02
TXN796574,MUBR04,Mumbai,1053.32,SUCCESS,2025-04-30
TXN683353,MUBR04,Mumbai,9748.96,SUCCESS,2025-05-02
TXN588220,MUBR04,Mumbai,4259.69,FAILED,2025-05-03
TXN284779,MUBR04,Mumbai,7463.16,SUCCESS,2025-05-05
TXN292371,MUBR04,Mumbai,8469.85,SUCCESS,2025-05-01
TXN304333,MUBR04,Mumbai,8938.45,SUCCESS,2025-05-05
TXN278710,MUBR04,Mumbai,8731.48,SUCCESS,2025-05-01
TXN368571,MUBR04,Mumbai,5998.54,FAILED,2025-05-05
TXN106818,MUBR04,Mumbai,4758.66,SUCCESS,2025-04-30
TXN370996,MUBR04,Mumbai,8650.19,SUCCESS,2025-05-01
TXN869457,MUBR04,Mumbai,499.06,FAILED,2025-05-01
TXN909426,MUBR04,Mumbai,2880.68,FAILED,2025-04-30
TXN317413,MUBR04,Mumbai,4558.55,FAILED,2025-05-03
TXN458373,MUBR04,Mumbai,8068.24,FAILED,2025-05-01
TXN890824,MUBR04,Mumbai,8668.0,FAILED,2025-05-01
TXN510393,MUBR04,Mumbai,9680.69,SUCCESS,2025-05-03
TXN495101,MUBR04,Mumbai,9883.73,SUCCESS,2025-05-04
