transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN311551,MUBR02,Mumbai,7558.35,FAILED,2025-05-03
TXN723036,MUBR02,Mumbai,8338.77,FAILED,2025-04-30
TXN982097,MUBR02,Mumbai,7998.65,FAILED,2025-05-06
TXN887126,MUBR02,Mumbai,5129.51,FAILED,2025-05-05
TXN261356,MUBR02,Mumbai,4933.73,FAILED,2025-05-06
TXN988925,MUBR02,Mumbai,1889.61,FAILED,2025-05-06
TXN900230,MUBR02,Mumbai,1441.4,FAILED,2025-05-03
TXN124168,MUBR02,Mumbai,6709.16,FAILED,2025-05-01
TXN749190,MUBR02,Mumbai,9876.01,FAILED,2025-05-04
TXN203088,MUBR02,Mumbai,9203.56,FAILED,2025-05-05
TXN180210,MUBR02,Mumbai,2885.13,FAILED,2025-04-30
TXN931540,MUBR05,Mumbai,1429.59,FAILED,2025-05-04
TXN377444,MUBR05,Mumbai,2849.2,FAILED,2025-05-05
TXN858971,MUBR05,Mumbai,8857.26,FAILED,2025-05-02
TXN451046,MUBR05,Mumbai,8961.98,FAILED,2025-05-02
TXN916373,MUBR05,Mumbai,7950.51,FAILED,2025-05-02
TXN341308,MUBR05,Mumbai,9288.08,FAILED,2025-05-05
TXN870984,MUBR05,Mumbai,9520.92,FAILED,2025-05-06
TXN879179,MUBR05,Mumbai,1918.72,FAILED,2025-05-06
TXN597960,MUBR05,Mumbai,275.45,FAILED,2025-05-03
TXN685606,MUBR05,Mumbai,7435.54,FAILED,2025-05-03
TXN932314,MUBR05,Mumbai,1997.28,FAILED,2025-05-01
TXN443473,DEBR04,Delhi,8941.87,FAILED,2025-05-02
TXN963477,DEBR04,Delhi,1311.58,FAILED,2025-05-06
TXN784931,DEBR04,Delhi,1940.64,FAILED,2025-04-30
TXN874754,DEBR04,Delhi,1105.31,FAILED,2025-05-03
TXN230595,DEBR04,Delhi,3415.54,FAILED,2025-05-01
TXN848950,DEBR04,Delhi,3733.87,FAILED,2025-05-01
TXN635306,DEBR04,Delhi,9887.97,FAILED,2025-05-04
TXN523789,DEBR01,Delhi,8560.46,FAILED,2025-05-06
TXN220661,DEBR01,Delhi,6551.94,FAILED,2025-05-04
TXN891320,DEBR01,Delhi,3055.38,FAILED,2025-05-02
TXN159398,DEBR01,Delhi,9211.8,FAILED,2025-05-05
TXN128004,DEBR01,Delhi,6914.57,FAILED,2025-05-04
TXN245655,DEBR01,Delhi,5152.52,FAILED,2025-05-06
TXN150442,DEBR01,Delhi,6427.14,FAILED,2025-04-30
TXN659556,DEBR01,Delhi,1682.11,FAILED,2025-05-05
TXN231306,DEBR01,Delhi,5678.81,FAILED,2025-05-06
TXN824734,DEBR02,Delhi,8528.26,FAILED,2025-04-30
TXN756518,DEBR02,Delhi,5190.78,FAILED,2025-05-05
TXN155877,DEBR02,Delhi,3249.97,FAILED,2025-05-04
TXN839655,DEBR02,Delhi,2244.14,FAILED,2025-05-04
TXN620629,DEBR02,Delhi,6727.4,FAILED,2025-05-04
TXN315914,DEBR02,Delhi,5603.76,FAILED,2025-04-30
TXN944256,DEBR02,Delhi,9615.11,FAILED,2025-05-02
TXN129381,DEBR02,Delhi,8334.4,FAILED,2025-05-03
TXN481743,DEBR03,Delhi,9953.42,FAILED,2025-05-06
TXN538043,DEBR03,Delhi,9590.99,FAILED,2025-05-06
TXN569839,DEBR03,Delhi,3718.74,FAILED,2025-05-03
TXN523992,DEBR03,Delhi,508.69,FAILED,2025-05-02
TXN437530,DEBR03,Delhi,702.14,FAILED,2025-05-01
TXN154755,DEBR03,Delhi,5910.27,FAILED,2025-05-06
TXN945977,DEBR03,Delhi,7316.25,FAILED,2025-05-06
TXN818694,DEBR03,Delhi,1087.31,FAILED,2025-05-03
TXN943298,DEBR03,Delhi,6921.75,FAILED,2025-05-06
TXN633209,DEBR03,Delhi,7311.16,FAILED,2025-05-06
TXN150085,DEBR03,Delhi,7439.51,FAILED,2025-05-04
TXN352491,DEBR05,Delhi,6882.49,FAILED,2025-05-06
TXN107414,DEBR05,Delhi,4890.34,FAILED,2025-05-05
TXN176343,DEBR05,Delhi,2768.73,FAILED,2025-05-02
TXN956671,DEBR05,Delhi,6334.94,FAILED,2025-05-03
TXN682220,DEBR05,Delhi,680.38,FAILED,2025-04-30
TXN477156,DEBR05,Delhi,200.26,FAILED,2025-05-04
TXN245127,DEBR05,Delhi,7602.37,FAILED,2025-05-02
TXN623912,DEBR05,Delhi,2070.85,FAILED,2025-05-04
TXN101590,DEBR05,Delhi,2304.81,FAILED,2025-05-01
TXN631696,DEBR05,Delhi,700.66,FAILED,2025-05-03
TXN749464,DEBR05,Delhi,9308.73,FAILED,2025-05-02
