transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN102959,CHBR03,Chennai,1886.52,FAILED,2025-04-30
TXN120163,CHBR01,Chennai,9387.57,FAILED,2025-05-04
TXN159914,CHBR01,Chennai,9465.99,FAILED,2025-05-06
TXN169357,CHBR01,Chennai,4563.94,FAILED,2025-05-06
TXN180309,CHBR02,Chennai,7381.83,FAILED,2025-05-02
TXN182921,CHBR05,Chennai,4904.96,FAILED,2025-05-05
TXN184101,CHBR03,Chennai,5987.5,FAILED,2025-05-03
TXN204961,CHBR02,Chennai,6152.64,FAILED,2025-05-03
TXN207281,CHBR01,Chennai,7708.4,FAILED,2025-04-30
TXN232158,CHBR01,Chennai,7926.88,FAILED,2025-05-05
TXN235845,CHBR04,Chennai,5891.49,FAILED,2025-05-03
TXN240858,CHBR04,Chennai,1374.62,FAILED,2025-05-03
TXN242025,CHBR01,Chennai,480.98,FAILED,2025-05-05
TXN281593,CHBR02,Chennai,319.38,FAILED,2025-04-30
TXN283827,CHBR02,Chennai,5879.08,FAILED,2025-05-04
TXN289549,CHBR03,Chennai,3228.43,FAILED,2025-04-30
TXN294008,CHBR03,Chennai,9013.86,FAILED,2025-05-01
TXN311810,CHBR01,Chennai,2058.76,FAILED,2025-05-05
TXN351460,CHBR04,Chennai,8109.4,FAILED,2025-05-04
TXN352201,CHBR01,Chennai,4392.25,FAILED,2025-05-05
TXN367147,CHBR01,Chennai,1614.32,FAILED,2025-05-01
TXN379924,CHBR02,Chennai,8994.77,FAILED,2025-05-05
TXN389341,CHBR03,Chennai,4487.19,FAILED,2025-05-03
TXN393389,CHBR04,Chennai,2213.37,FAILED,2025-04-30
TXN435522,CHBR03,Chennai,6672.85,FAILED,2025-04-30
TXN463139,CHBR04,Chennai,4742.37,FAILED,2025-05-05
TXN465912,CHBR01,Chennai,5188.66,FAILED,2025-05-04
TXN474479,CHBR05,Chennai,2557.26,FAILED,2025-05-01
TXN526659,CHBR03,Chennai,6165.61,FAILED,2025-04-30
TXN565055,CHBR05,Chennai,7203.12,FAILED,2025-05-06
TXN568743,CHBR02,Chennai,747.33,FAILED,2025-05-01
TXN569149,CHBR01,Chennai,2357.66,FAILED,2025-05-06
TXN575290,CHBR01,Chennai,915.77,FAILED,2025-05-01
TXN582661,CHBR03,Chennai,9006.05,FAILED,2025-05-03
TXN618517,CHBR04,Chennai,2902.32,FAILED,2025-05-05
TXN621344,CHBR04,Chennai,5513.43,FAILED,2025-05-01
TXN628219,CHBR02,Chennai,5939.25,FAILED,2025-05-06
TXN632123,CHBR03,Chennai,4155.18,FAILED,2025-05-02
TXN643840,CHBR03,Chennai,7152.78,FAILED,2025-04-30
TXN658026,CHBR05,Chennai,3238.52,FAILED,2025-05-04
TXN729255,CHBR03,Chennai,5789.17,FAILED,2025-05-06
TXN729283,CHBR05,Chennai,3366.42,FAILED,2025-05-06
TXN795621,CHBR01,Chennai,7474.19,FAILED,2025-05-04
TXN841952,CHBR02,Chennai,8226.47,FAILED,2025-05-05
TXN848494,CHBR02,Chennai,6035.23,FAILED,2025-05-05
TXN858652,CHBR02,Chennai,5865.81,FAILED,2025-04-30
TXN882719,CHBR04,Chennai,8546.98,FAILED,2025-05-03
TXN887180,CHBR04,Chennai,4469.77,FAILED,2025-04-30
TXN923865,CHBR02,Chennai,7865.5,FAILED,2025-05-02
TXN924464,CHBR03,Chennai,2060.9,FAILED,2025-05-05
TXN928665,CHBR02,Chennai,4820.66,FAILED,2025-05-06
TXN929622,CHBR05,Chennai,5688.63,FAILED,2025-05-06
TXN933996,CHBR05,Chennai,6830.58,FAILED,2025-05-06
TXN943117,CHBR02,Chennai,6853,FAILED,2025-05-03
TXN975490,CHBR04,Chennai,4648,FAILED,2025-04-30
TXN981277,CHBR05,Chennai,188.22,FAILED,2025-04-30
