transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN987967,DEBR01,Delhi,5455.98,SUCCESS,2025-05-06
TXN523789,DEBR01,Delhi,8560.46,FAILED,2025-05-06
TXN220661,DEBR01,Delhi,6551.94,FAILED,2025-05-04
TXN913114,DEBR01,Delhi,7403.83,SUCCESS,2025-05-01
TXN891320,DEBR01,Delhi,3055.38,FAILED,2025-05-02
TXN159398,DEBR01,Delhi,9211.8,FAILED,2025-05-05
TXN835008,DEBR01,Delhi,4327.18,SUCCESS,2025-05-01
TXN783245,DEBR01,Delhi,4071.88,SUCCESS,2025-05-01
TXN128004,DEBR01,Delhi,6914.57,FAILED,2025-05-04
TXN400968,DEBR01,Delhi,2587.46,SUCCESS,2025-05-01
TXN512512,DEBR01,Delhi,6169.19,SUCCESS,2025-05-01
TXN245655,DEBR01,Delhi,5152.52,FAILED,2025-05-06
TXN150442,DEBR01,Delhi,6427.14,FAILED,2025-04-30
TXN567114,DEBR01,Delhi,7381.46,SUCCESS,2025-05-02
TXN364787,DEBR01,Delhi,8647.07,SUCCESS,2025-05-01
TXN659556,DEBR01,Delhi,1682.11,FAILED,2025-05-05
TXN676585,DEBR01,Delhi,242.78,SUCCESS,2025-05-02
TXN570656,DEBR01,Delhi,4887.62,SUCCESS,2025-05-01
TXN327326,DEBR01,Delhi,3030.48,SUCCESS,2025-05-06
TXN231306,DEBR01,Delhi,5678.81,FAILED,2025-05-06
