transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN418771,MUBR01,Mumbai,6704.49,FAILED,2025-05-05
TXN367273,MUBR01,Mumbai,6226.03,SUCCESS,2025-05-01
TXN361059,MUBR01,Mumbai,5600.22,FAILED,2025-04-30
TXN313318,MUBR01,Mumbai,4530.08,SUCCESS,2025-05-04
TXN129157,MUBR01,Mumbai,8373.16,SUCCESS,2025-05-01
TXN263010,MUBR01,Mumbai,8422.07,FAILED,2025-04-30
TXN895981,MUBR01,Mumbai,7308.03,FAILED,2025-05-02
TXN749678,MUBR01,Mumbai,3249.91,SUCCESS,2025-05-02
TXN309302,MUBR01,Mumbai,9341.65,FAILED,2025-05-01
TXN827065,MUBR01,Mumbai,350.88,SUCCESS,2025-05-03
TXN248459,MUBR01,Mumbai,8328.33,FAILED,2025-05-06
TXN702306,MUBR01,Mumbai,2009.52,SUCCESS,2025-05-04
TXN449848,MUBR01,Mumbai,3518.78,FAILED,2025-05-06
TXN134709,MUBR01,Mumbai,1857.02,SUCCESS,2025-05-05
TXN667661,MUBR01,Mumbai,6621.3,FAILED,2025-05-06
TXN671040,MUBR01,Mumbai,4683.04,FAILED,2025-05-04
TXN832519,MUBR01,Mumbai,1988.7,FAILED,2025-05-03
TXN157952,MUBR01,Mumbai,544.44,FAILED,2025-05-06
TXN234707,MUBR01,Mumbai,5654.67,SUCCESS,2025-05-01
TXN875347,MUBR01,Mumbai,1643.45,SUCCESS,2025-05-02
